pool_id,dedup_key,official_name,aliases,province,city,county,grade_bucket,category,operational_status,coverage_status,source_name,source_url,source_version,kb_file,kb_id,pending_reason,merge_target_id,removed_reason,is_denominator,pool_version,verification_note
CN-P-000001,6dca7ef1ca4df778304b63cba25a5ee4ab4f21b13559832712762c208720b56d,故宫博物院,,北京市,,,5A,A级景区,unknown,covered,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,知识库数据/02-景点库-北京.md,A001,,,,1,CN-POOL-20260904-r0,MCT内容ID=97745；来源文件=content_4.json
CN-P-000002,8cf95c78b76dd4917f4af1e25f4a7481a123a6bfcc04b8c83ffc247576d09a81,天坛公园,,北京市,,,5A,A级景区,unknown,covered,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,知识库数据/02-景点库-北京.md,A003,,,,1,CN-POOL-20260904-r0,MCT内容ID=97746；来源文件=content_4.json
CN-P-000003,236973afd6c9287a23bf27ab9f712232a355f2485339ba1c32917ab34e77576e,颐和园,,北京市,,,5A,A级景区,unknown,covered,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,知识库数据/02-景点库-北京.md,A004,,,,1,CN-POOL-20260904-r0,MCT内容ID=97747；来源文件=content_4.json
CN-P-000004,7de0a818fe4a174c2481e97f346e21df2cda66c02a4b4c520996d40ff63ab658,八达岭—慕田峪长城旅游区,,北京市,,,5A,A级景区,unknown,covered,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,知识库数据/02-景点库-北京.md,A002,,,,1,CN-POOL-20260904-r0,MCT内容ID=97748；来源文件=content_4.json
CN-P-000005,3f3655410eebf85fb9cfa60333785f8e53878527335f42f3dd8ea2516397d59c,明十三陵景区,,北京市,,,5A,A级景区,unknown,pending,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,,,尚未映射到可回跳的知识库景点卡,,,1,CN-POOL-20260904-r0,MCT内容ID=97749；来源文件=content_4.json
CN-P-000006,0b41517d1fe44c19c5c47673d0c07a91a2fa577754850038c0bc087f91c25e26,恭王府景区,,北京市,,,5A,A级景区,unknown,pending,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,,,尚未映射到可回跳的知识库景点卡,,,1,CN-POOL-20260904-r0,MCT内容ID=97750；来源文件=content_4.json
CN-P-000007,53ece24c2a5d0ba984c5e28947b86c9170eda2a80c7c86b1db2d4e9b6b320553,北京奥林匹克公园,,北京市,,,5A,A级景区,unknown,pending,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,,,尚未映射到可回跳的知识库景点卡,,,1,CN-POOL-20260904-r0,MCT内容ID=97751；来源文件=content_4.json
CN-P-000008,d3467ad377b5ea078e7c07d13a894d4f0679ae2f0f55c5082841c712d4fcaf3a,圆明园遗址公园景区,,北京市,,,5A,A级景区,unknown,covered,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,知识库数据/02-景点库-北京.md,A005,,,,1,CN-POOL-20260904-r0,MCT内容ID=97752；来源文件=content_4.json
CN-P-000009,7656d4dc0ea5a0e0cc1a21239d031d4a1b3bec52e3fa326cb70b804a88c6f492,北京（通州）大运河文化旅游景区,,北京市,,,5A,A级景区,unknown,pending,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,,,尚未映射到可回跳的知识库景点卡,,,1,CN-POOL-20260904-r0,MCT内容ID=97753；来源文件=content_4.json
CN-P-000010,5b6e720bfd3067a9294871db0ec220d10c565e104db1c34cb2587d805e84db9b,天津古文化街旅游区（津门故里）,,天津市,,,5A,A级景区,unknown,pending,5A级旅游景区,https://www.mct.gov.cn/tourism/#/list,API目录ID-4/2026-09-04,,,尚未映射到可回跳的知识库景点卡,,,1,CN-POOL-20260904-r0,MCT内容ID=97754；来源文件=content_4.json
